"Subject","Visualization","StartCond","Threshold","Spread","ConfidenceFitness","CompletionTime"
"d29885953a5e5329d66fb537880a5fc1","c","c",2.7963,0.056268,0.36848,1354020
"d29885953a5e5329d66fb537880a5fc1","h","c",2.4612,1.834,0.031403,684131
"b2e96295725c83e7578df443c1e78bb3","c","c",1.5687e-06,2.5351,0.0025,378382
"b2e96295725c83e7578df443c1e78bb3","h","c",1.7735,0.0015736,0.5,428232
"0d26a5188f9e2ea3ee76ac0d7dcebf03","c","c",2.2557,1.3025,0.0082677,541083
"0d26a5188f9e2ea3ee76ac0d7dcebf03","h","c",2.1504,1.5113,0.0089411,480057
"434cff690fb8ff13310cf5a55acaa360","c","c",8.5602,1.1137,0.91486,524012
"434cff690fb8ff13310cf5a55acaa360","h","c",1.1886,1.3899,0.0067409,554624
"30194253c1ae61ee1843afa7223b9b02","c","c",7.2836,1.1358,0.072161,346659
"30194253c1ae61ee1843afa7223b9b02","h","c",4.7635,1.6686,0.74919,309336
"b7b0dd90f578e1fde9789ce52e2bd573","c","c",2.8783,1.5558,0.004629,499966
"b7b0dd90f578e1fde9789ce52e2bd573","h","c",8.5537e-06,3.1995,1.6763e-06,361956
"3c61e98d19652610f3828954a082e559","c","c",3.0163,1.0308,0.56219,1681487
"3c61e98d19652610f3828954a082e559","h","c",3.3124,1.1768,0.62438,358741
"a39a9af15a9ae36f666f39124a3dc7fa","c","c",2.031,3.5267,0.00094262,384881
"a39a9af15a9ae36f666f39124a3dc7fa","h","c",2.0829,3.4596,0.74997,328552
"af5369e2378c7288f3df6668403b65f1","c","c",2.768,1.528,0.9832,480123
"af5369e2378c7288f3df6668403b65f1","h","c",2.0533,1.8829,0.0026987,420656
"b0aeb4260864cd89166dc312e671fb60","c","c",1.618e-06,4.0729,0.0090923,624871
"b0aeb4260864cd89166dc312e671fb60","h","c",2.2188e-06,3.8951,0.6527,651774
"d056ab9ecb808d33c95900615597355e","c","c",1.08,3.0938,0.57742,404916
"d056ab9ecb808d33c95900615597355e","h","c",1.9885,2.4768,0.00079896,578967
"9f3fd867d4b01febd97869e2f4d6c4ad","c","c",2.8387,2.0132,0.93692,506284
"9f3fd867d4b01febd97869e2f4d6c4ad","h","c",3.5598,0.025513,0.49997,490893
"66a5a41ba255ed341a1dffaef4870907","c","c",5.2811,2.2093,0.56652,594315
"66a5a41ba255ed341a1dffaef4870907","h","c",2.0561,0.057822,0.54167,539458
"e5722f26ce00d92244dcc8d2c08b1749","c","c",0.0002699,6.1389,0.71547,331909
"e5722f26ce00d92244dcc8d2c08b1749","h","c",3.614,1.3667,0.0024993,312403
"c0e7dcbaa1bec40a7960cf9241f849d2","c","c",3.091,3.4988,0.006319,550938
"c0e7dcbaa1bec40a7960cf9241f849d2","h","c",3.2856,1.8681,4.8594e-05,702321
"6164357fa96bd01d0ef31bfbe9f3dd7f","c","c",2.5765,0.040698,0.37378,670825
"6164357fa96bd01d0ef31bfbe9f3dd7f","h","c",1.9873,0.5252,0.079315,625590
"c2be625d1819eabe5bd3a53abf7f8792","c","h",4.4824,1.3161,0.6794,422285
"c2be625d1819eabe5bd3a53abf7f8792","h","h",2.6015,2.1678,0.013681,536907
"f992d2b7b7b1cc5321a3ceaac292a890","c","h",3.2112,0.31627,0.0096991,430433
"f992d2b7b7b1cc5321a3ceaac292a890","h","h",1.8724,2.2091,0.65219,456194
"48ad537a338f49206d666d4c80a7f30f","c","h",3.2843,1.284,0.009427,277336
"48ad537a338f49206d666d4c80a7f30f","h","h",2.1071,1.328,0.96911,604883
"53e562ed17f742cb76dc8cb64f12d7f3","c","h",1.6169,0.92456,0.52603,635564
"53e562ed17f742cb76dc8cb64f12d7f3","h","h",3.5319,1.6521,0.0026623,907998
"ff6f84e8ce4de58a9b7fb9bbcd67d958","c","h",4.6926,1.1984,0.096393,320046
"ff6f84e8ce4de58a9b7fb9bbcd67d958","h","h",2.8916,2.8561,0.62439,399937
"0dfc9c2480c3dc6a3e7aec99ab65e587","c","h",3.2038,2.4088,0.68444,612448
"0dfc9c2480c3dc6a3e7aec99ab65e587","h","h",2.8259,1.7687,0.66667,678969
"2b5c9f8e148ffcca0e5cf11862ec20e2","c","c",4.8841,3.7693,0.73789,546940
"2b5c9f8e148ffcca0e5cf11862ec20e2","h","c",1.6145,1.8643,1.4682e-05,468914
"0a8dcca3f4b831fb88e75e71ac6b8d5b","c","c",1.9418,1.2552,0.00096319,378055
"0a8dcca3f4b831fb88e75e71ac6b8d5b","h","c",2.5518,0.74886,0.0013458,303832
"d6a05565038e174b2a1c17560bdcc7f0","c","c",2.6041,6.1463,0.0025948,442079
"d6a05565038e174b2a1c17560bdcc7f0","h","c",1.3081,1.8864,0.0046233,401637
"76944d10dcd16e13c7452ee4208ed736","c","c",2.086,2.7872,0.82951,566000
"76944d10dcd16e13c7452ee4208ed736","h","c",3.4247,1.7272,0.0092984,493277
"ef764eeb0e003e7a864643e19846bae7","c","c",4.3543,1.6133,0.56219,1181631
"ef764eeb0e003e7a864643e19846bae7","h","c",5.679,2.0597,0.0062571,902393
"fa3a01b99259bad2188631278562d287","c","c",2.9149,1.4943,0.95892,285476
"fa3a01b99259bad2188631278562d287","h","c",3.1984,0.84931,0.028242,176819
"46a5fab5181d3a8aedb7014c2a81f542","c","h",2.253,3.5077,1.0455e-05,354569
"46a5fab5181d3a8aedb7014c2a81f542","h","h",0.39513,3.0851,1.4875e-05,462235
"635271250cd95aeaf62ed24ec8e0398b","c","h",3.8587,0.18351,0.0047159,369910
"635271250cd95aeaf62ed24ec8e0398b","h","h",3.7421,0.61602,0.5,391807
"2ce6bb9027b81d0d76bd6d62c393a189","c","h",3.5704,0.023539,0.72936,297915
"2ce6bb9027b81d0d76bd6d62c393a189","h","h",1.9437,2.0261,0.5,1119726
"07301331cc0cb3313435bced83838505","c","h",1.3119,0.45804,0.0022286,458330
"07301331cc0cb3313435bced83838505","h","h",1.6096,0.848,0.050367,693908
"42dcd615dd16bfbdfef7f734c76df85f","c","h",3.336,1.0493,0.56219,620532
"42dcd615dd16bfbdfef7f734c76df85f","h","h",3.7654,0.37871,0.74861,949395
"04b4c671b6f5380b9713aec0ca7e3094","c","h",1.0464,1.1439,0.62349,624374
"04b4c671b6f5380b9713aec0ca7e3094","h","h",2.548,0.046118,0.66848,398929
"545991b011dbd30605675e6b5ffec959","c","h",3.989,0.023858,0.5,382329
"545991b011dbd30605675e6b5ffec959","h","h",0.85348,5.0958,0.0071435,716461
"3f61dfab4cecc857ba01a83cc226e5cd","c","c",6.8454,1.4929,0.0018781,586595
"3f61dfab4cecc857ba01a83cc226e5cd","h","c",2.596,7.4182,0.020121,529561
"a13cd976eab46562e3d587bf0b337a04","c","c",3.2838,0.71972,0.00067586,303153
"a13cd976eab46562e3d587bf0b337a04","h","c",4.4401,1.0659,0.0085465,293577
"22d69623b9edc34561ac80d5d5a90fa0","c","c",4.4389,3.0158,9.9191e-06,788625
"22d69623b9edc34561ac80d5d5a90fa0","h","c",4.0424,2.9999,0.00086264,614793
"2ecb84290e1284cff7a0709e92104e22","c","h",1.4934,0.43688,0.001869,515299
"2ecb84290e1284cff7a0709e92104e22","h","h",1.3476,2.6298,0.62438,673054
"f403f5a61d16922bca7be0d38f9baf3f","c","h",3.2507,0.48202,0.4338,595216
"f403f5a61d16922bca7be0d38f9baf3f","h","h",1.7226,3.2931,0.61556,699143
"d4f3a38e1690a3418307c4ddf286bb06","c","h",1.0916,0.99402,0.44457,344727
"d4f3a38e1690a3418307c4ddf286bb06","h","h",2.1776,0.37443,0.0010114,658687
"15e897b3c398e3d0166e463d59cc69a5","c","h",5.016,3.8997,0.037687,489737
"15e897b3c398e3d0166e463d59cc69a5","h","h",1.6632e-05,11.3557,0.22581,720122
"6a0f5a656d9b069d5002864fa5392f87","c","h",1.7609,0.60763,0.54199,401332
"6a0f5a656d9b069d5002864fa5392f87","h","h",2.0197,1.6056,0.0024176,561375
"38055bd2d480fbbbcc0057da964dc34d","c","h",3.0398,0.55759,0.93763,328711
"38055bd2d480fbbbcc0057da964dc34d","h","h",1.2447,1.4136,0.0099592,425602
"d45698ad817b024d3bf8e44fb0898588","c","h",2.5327,1.6877,0.54167,598171
"d45698ad817b024d3bf8e44fb0898588","h","h",3.2773,3.3141,0.47391,1010302
"acff006a4d95a5402dad657ec40137b4","c","h",3.1717,0.55639,0.0018431,391211
"acff006a4d95a5402dad657ec40137b4","h","h",0.98769,2.7215,1.25e-05,598349
"8d2358ddf9fdfc9a348468e57e81e7e0","c","h",2.1333,2.1158,0.009329,725853
"8d2358ddf9fdfc9a348468e57e81e7e0","h","h",2.1056,1.0838,0.00067753,875723
"cb5a8a85bf80b49e8ead1a53ff446769","c","h",2.5874,3.9139,0.0012559,260230
"cb5a8a85bf80b49e8ead1a53ff446769","h","h",2.1747,2.4177,0.56219,453530
"cb7f2ae9e204764d3d6f855ca1db29f4","c","h",3.0889,1.6137,0.6865,405901
"cb7f2ae9e204764d3d6f855ca1db29f4","h","h",3.5076,2.7743,0.0023394,517093
"dce446ebc621ff6e8b37448efe9534ff","c","h",3.3252,1.519,0.031984,614744
"dce446ebc621ff6e8b37448efe9534ff","h","h",1.7229,1.4256,0.55837,404080
